DATE,INDPRO
01-12-2007,102.4621
01-01-2008,102.3148
01-02-2008,101.9384
01-03-2008,101.5904
01-04-2008,100.9098
01-05-2008,100.3073
01-06-2008,100.0853
01-07-2008,99.6124
01-08-2008,98.0601
01-09-2008,93.8451
01-10-2008,94.7036
01-11-2008,93.4737
01-12-2008,90.825
01-01-2009,88.583
01-02-2009,88.0069
01-03-2009,86.6045
01-04-2009,85.9406
01-05-2009,85.0635
01-06-2009,84.7841
01-07-2009,85.7471
01-08-2009,86.7094
01-09-2009,87.4072
01-10-2009,87.6595
01-11-2009,88.0061
01-12-2009,88.2819
01-01-2010,89.2744
01-02-2010,89.5648
01-03-2010,90.2296
01-04-2010,90.5689
01-05-2010,91.8247
01-06-2010,92.007
01-07-2010,92.3967
01-08-2010,92.7118
01-09-2010,92.9252
01-10-2010,92.7115
01-11-2010,92.7535
01-12-2010,93.6492
01-01-2011,93.4768
01-02-2011,93.0617
01-03-2011,94.0244
01-04-2011,93.7011
01-05-2011,93.849
01-06-2011,94.0844
01-07-2011,94.5881
01-08-2011,95.1605
01-09-2011,95.0855
01-10-2011,95.6902
01-11-2011,95.7307
01-12-2011,96.2047
01-01-2012,96.7772
01-02-2012,97.051
01-03-2012,96.5714
01-04-2012,97.3139
01-05-2012,97.4669
01-06-2012,97.4577
01-07-2012,97.6786
01-08-2012,97.2842
01-09-2012,97.2295
01-10-2012,97.5344
01-11-2012,97.9837
01-12-2012,98.2122
01-01-2013,98.1664
01-02-2013,98.6458
01-03-2013,99.0597
01-04-2013,98.9927
01-05-2013,99.0726
01-06-2013,99.2065
01-07-2013,98.9204
01-08-2013,99.4996
01-09-2013,100.0568
01-10-2013,99.9168
01-11-2013,100.1762
01-12-2013,100.3658
01-01-2014,100.038
01-02-2014,100.7918
01-03-2014,101.7782
01-04-2014,101.8337
01-05-2014,102.2325
01-06-2014,102.5722
01-07-2014,102.8479
01-08-2014,102.6491
01-09-2014,102.9858
01-10-2014,102.9911
01-11-2014,103.6669
01-12-2014,103.6139
01-01-2015,102.8479
01-02-2015,102.2292
01-03-2015,101.8945
01-04-2015,101.2859
01-05-2015,100.8408
01-06-2015,100.5063
01-07-2015,101.1831
01-08-2015,100.9115
01-09-2015,100.568
01-10-2015,100.1588
01-11-2015,99.4099
01-12-2015,98.8329
01-01-2016,99.4797
01-02-2016,98.9583
01-03-2016,98.1954
01-04-2016,98.4673
01-05-2016,98.2889
01-06-2016,98.7201
01-07-2016,98.8992
01-08-2016,98.7249
01-09-2016,98.606
01-10-2016,98.6703
01-11-2016,98.2288
01-12-2016,98.8958
01-01-2017,98.7446
01-02-2017,98.3676
01-03-2017,99.1065
01-04-2017,100.0363
01-05-2017,100.147
01-06-2017,100.3042
01-07-2017,100.2092
01-08-2017,99.7055
01-09-2017,99.7485
01-10-2017,100.988
01-11-2017,101.273
01-12-2017,101.3696
01-01-2018,101.3561
01-02-2018,101.6495
01-03-2018,102.298
01-04-2018,103.4095
01-05-2018,102.5408
01-06-2018,103.3045
01-07-2018,103.5474
01-08-2018,104.1659
01-09-2018,104.1315
01-10-2018,103.9874
01-11-2018,103.9127
01-12-2018,103.867
01-01-2019,103.3023
01-02-2019,102.728
01-03-2019,102.8635
01-04-2019,102.2543
01-05-2019,102.4519
01-06-2019,102.384
01-07-2019,102.0568
01-08-2019,102.6882
01-09-2019,102.3143
01-10-2019,101.4645
01-11-2019,101.9876
01-12-2019,101.6179
01-01-2020,101.0918
01-02-2020,101.3247
01-03-2020,97.4477
01-04-2020,84.2018
01-05-2020,85.8434
01-06-2020,91.1622
01-07-2020,94.8887
01-08-2020,95.8924
01-09-2020,95.6019
01-10-2020,96.6454
01-11-2020,97.1609
01-12-2020,98.2854
01-01-2021,99.3244
01-02-2021,96.4433
01-03-2021,98.9318
01-04-2021,99.0174
01-05-2021,99.8562
