,Date,Opp,UIC Score,Opp Score,UIC FG,Opp FG,UIC 3P,Opp 3P,UIC TRB,Opp TRB,UIC AST,Opp AST
0,11/13/2015,San Francisco,75,78,28.0,24,8.0,8.0,36,42.0,17.0,15
1,11/17/2015,Western Illinois,57,84,15.0,30,3.0,5.0,40,42.0,6.0,16
2,11/24/2015,Roosevelt,96,58,35.0,22,1.0,5.0,52,23.0,,15
3,11/28/2015,Drake,62,83,23.0,31,4.0,10.0,30,34.0,5.0,18
4,12/2/2015,DePaul,55,82,20.0,29,2.0,,31,36.0,12.0,19
5,12/5/2015,UCF,58,88,22.0,26,4.0,7.0,43,32.0,10.0,14
6,12/12/2015,Illinois,79,83,,25,9.0,9.0,38,25.0,18.0,18
7,12/16/2015,Illinois State,60,72,17.0,25,7.0,2.0,31,43.0,15.0,14
8,12/19/2015,Loyola (IL),47,64,18.0,20,5.0,4.0,32,29.0,7.0,9
9,12/22/2015,Purdue Calumet,91,72,30.0,26,10.0,8.0,36,,21.0,18
10,12/29/2015,Northern Illinois,65,70,20.0,22,4.0,8.0,30,33.0,18.0,19
11,1/2/2016,Valparaiso,47,75,18.0,25,2.0,8.0,28,39.0,11.0,12
12,1/8/2016,Detroit,69,87,21.0,26,2.0,4.0,35,32.0,6.0,10
13,1/10/2016,Oakland,61,86,21.0,25,,4.0,32,30.0,10.0,11
14,1/14/2016,Green Bay,76,78,29.0,29,5.0,4.0,33,40.0,20.0,19
15,1/16/2016,Milwaukee,62,87,21.0,31,4.0,8.0,29,32.0,11.0,24
16,1/18/2016,Cleveland State,53,70,20.0,23,2.0,9.0,36,37.0,6.0,15
17,1/22/2016,Northern Kentucky,69,82,23.0,25,1.0,9.0,36,34.0,3.0,14
18,1/24/2016,Wright State,66,80,22.0,29,2.0,9.0,36,25.0,,14
19,1/28/2016,Youngstown State,78,82,,29,5.0,14.0,49,37.0,16.0,21
20,1/30/2016,Cleveland State,72,70,21.0,26,4.0,4.0,35,34.0,13.0,16
21,2/6/2016,Valparaiso,55,73,19.0,28,2.0,7.0,28,40.0,8.0,20
22,2/11/2016,Wright State,64,59,22.0,21,5.0,6.0,40,30.0,13.0,14
23,2/13/2016,Northern Kentucky,79,77,24.0,27,7.0,9.0,45,30.0,13.0,16
24,2/16/2016,Youngstown State,91,92,38.0,35,6.0,5.0,60,45.0,12.0,11
25,2/19/2016,Detroit,72,83,24.0,27,4.0,7.0,34,36.0,9.0,19
26,2/21/2016,Oakland,63,74,24.0,28,3.0,7.0,42,44.0,12.0,16
27,2/26/2016,Green Bay,69,85,22.0,30,6.0,9.0,31,44.0,7.0,17
28,2/28/2016,Milwaukee,85,98,30.0,30,9.0,15.0,36,39.0,13.0,25
29,3/5/2016,Wright State,43,74,12.0,29,2.0,14.0,39,39.0,5.0,20
